Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733823898762;(740.3, 214.2);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823898845;(741.1, 210.5);Mouse Click;Incorrect;Distractor clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823900780;(1303.5, 210.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823901280;(1310.3, 212.0);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823901280;(1310.3, 212.0);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823902046;(726.4, 227.3);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823904063;(1042.1, 256.4);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823904063;(1042.1, 256.4);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823904579;(1403.5, 144.0);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823904580;(1403.5, 144.0);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823905345;(739.3, 205.3);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823907361;(NaN, NaN);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823907361;(NaN, NaN);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823907880;(NaN, NaN);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823907880;(NaN, NaN);Mushroom;Appear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823908245;(787.4, 147.9);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823908628;(731.0, 150.4);Mushroom;Disappear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823910645;(NaN, NaN);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823911145;(1098.7, 218.5);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823911146;(1098.7, 218.5);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823911895;(NaN, NaN);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823913912;(1110.2, 206.7);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823913912;(1110.2, 206.7);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823914428;(800.6, 163.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823914429;(800.6, 163.2);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823915179;(1483.0, 168.8);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823917195;(1112.4, 159.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823917195;(1112.4, 159.3);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823917712;(1023.8, 79.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823917712;(1023.8, 79.3);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823918462;(871.1, 994.0);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823920479;(902.6, 305.2);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823920479;(902.6, 305.2);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823920994;(892.9, 294.1);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823920995;(892.9, 294.1);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823921762;(758.7, 156.0);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823923790;(1055.7, 210.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823923790;(1055.7, 210.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823924280;(1051.0, 203.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823924280;(1051.0, 203.3);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823925045;(1390.5, 211.1);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823927062;(1406.5, 261.9);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823927062;(1406.5, 261.9);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823927580;(1325.3, 170.1);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823927580;(1325.3, 170.1);Mushroom;Appear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823927895;(804.7, 162.4);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823928329;(744.3, 643.3);Mushroom;Disappear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823930345;(1421.9, 112.1);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823930845;(1423.2, 111.5);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823930846;(1423.2, 111.5);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823931612;(729.3, 193.6);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823932378;(NaN, NaN);Mouse Click;Incorrect;Distractor clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823933628;(NaN, NaN);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823934128;(NaN, NaN);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823934128;(NaN, NaN);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823934894;(978.3, 407.9);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823936912;(1121.5, 191.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823936912;(1121.5, 191.3);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823937428;(1137.2, 165.8);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823937428;(1137.2, 165.8);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823938180;(707.2, 161.8);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823940194;(1459.3, 122.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823940194;(1459.3, 122.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823940712;(1146.2, 250.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823940713;(1146.2, 250.4);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823941479;(1404.6, 224.4);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823943495;(1253.0, 225.9);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823943495;(1253.0, 225.9);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823944011;(1253.0, 210.8);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823944012;(1253.0, 210.8);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823944781;(782.4, 197.2);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823946780;(1297.7, 233.8);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823946780;(1297.7, 233.8);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823947295;(1308.2, 247.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823947295;(1308.2, 247.4);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823947810;(1438.8, 169.3);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823948060;(1421.0, 152.9);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823950079;(NaN, NaN);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823950594;(948.5, 226.7);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823950595;(948.5, 226.7);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823951361;(852.2, 156.4);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823953380;(1476.0, 350.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823953380;(1476.0, 350.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823953879;(1521.1, 331.7);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823953880;(1521.1, 331.7);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823954644;(1441.7, 153.7);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823954677;(1433.0, 162.7);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823956660;(1169.4, 217.7);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823957180;(1164.5, 194.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823957180;(1164.5, 194.2);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823957928;(NaN, NaN);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823959945;(1192.0, 167.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823959945;(1192.0, 167.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823960444;(1064.5, 321.8);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823960444;(1064.5, 321.8);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
